UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/09;Ppto;554087740,1
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/10;Ppto;228575735,7
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/11;Ppto;233259640,2
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2023/12;Ppto;235252072
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/01;Ejecutado;13265342
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/01;Ppto;16182694,35
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/02;Ppto;10433573,71
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/03;Ppto;12375544,34
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/04;Ppto;36965250,13
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/05;Ppto;5214810,134
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/06;Ppto;5870175,841
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/07;Ppto;5332971,408
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/08;Ppto;4211497,868
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/09;Ppto;153719496,7
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/10;Ppto;3734984,604
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/11;Ppto;6815366,35
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2023/12;Ppto;3528659,112
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/01;Ejecutado;3764214
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/01;Ppto;15249648,39
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/02;Ppto;8634559,38
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/03;Ppto;7842929,761
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/04;Ppto;2902854,46
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/05;Ppto;3236056,607
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/06;Ppto;2849643,415
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/07;Ppto;3066321,305
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/08;Ppto;2294008,33
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/09;Ppto;7418696,376
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/10;Ppto;2109442,421
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/11;Ppto;2058934,032
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2023/12;Ppto;2061221,704
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACIÓN;2023/01;Ejecutado;82405386
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/01;Ppto;131798481,6
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/02;Ppto;84037415,63
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/03;Ppto;129964858,9
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/04;Ppto;134051641,6
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/05;Ppto;133555278,6
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/06;Ppto;98068986,32
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/07;Ppto;161410333,8
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/08;Ppto;89162260,97
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/09;Ppto;225134338,7
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/10;Ppto;87721384,48
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/11;Ppto;93501146,43
BIENESTAR Y DESARROLLO SOCIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;EDUCACION, EMPLEO Y FOMENTO EMPRESARIAL;2023/12;Ppto;93680318,45
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/01;Ejecutado;145497748
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/01;Ppto;158775977,4
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/02;Ppto;157347013,1
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/03;Ppto;306412386,8
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/04;Ppto;198437489,1
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/05;Ppto;193174323,9
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/06;Ppto;159018046
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/07;Ppto;550002264,7
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/08;Ppto;187145426,5
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/09;Ppto;335189742,5
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/10;Ppto;155529854,1
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/11;Ppto;208914381,2
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;ADMINISTRACION EVENTOS;2023/12;Ppto;225507129,9
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/01;Ejecutado;240208
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/01;Ppto;1991169,044
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/02;Ppto;658381,0916
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/03;Ppto;4766363,166
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/04;Ppto;577813,5855
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/05;Ppto;560298,5213
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/06;Ppto;736632,523
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/07;Ppto;1142538,428
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/08;Ppto;612548,7511
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/09;Ppto;297017,9844
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/10;Ppto;281356,1233
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/11;Ppto;310176,4229
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS COMPENSAR (ANTES CLIENTE EXTERNO);2023/12;Ppto;291128,3737
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2023/01;Ejecutado;22282
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2023/01;Ppto;212582,7755
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2023/02;Ppto;61394,53366
BIENESTAR Y DESARROLLO SOCIAL;EVENTOS;OPERACIÓN EVENTOS CON TERCEROS;2023/03;Ppto;431766,4839
